product_name,packaging,main_category,nutrition_grade_fr,nutrition_score,fat_g,carbohydrates_g,proteins_g,additives_n,ingredients_from_palm_oil_n,fp_lat,fp_lon,contains_additives
Pineapple slices in juice,"can,metal",plant-based-foods-and-beverages,a,-3,0.5,14.0,0.5,1,0,47.63,-2.67,1
Vanilla Nonfat Yogurt,"sachet,plastique",dairies,a,-1,0.0,15.0,4.85,1,0,47.63,-2.67,1
Sunflower oil,"bottle,plastic",plant-based-foods-and-beverages,d,11,92.0,0.5,0.5,0,0,47.63,-2.67,0
Pancakes au Chocolat belge,"sachet,plastique,carton",crepes-and-galettes,c,4,9.7,39.8,6.6,6,0,47.63,-2.67,1
Rollmop Herrings,plastique,harengs,d,15,6.9,15.2,12.1,1,0,47.63,-2.67,1
Hollow Milk Chocolate Decorated R2D2 Figure,"plastique,boîte",sugary-snacks,e,24,32.5,53.7,6.8,1,0,47.63,-2.67,1
Smoothie super Berry,"sachet,plastique",beverages,e,17,1.9,14.8,2.3,2,0,47.63,-2.67,1
"grilled Cajun chicken breast, spicy wedges & sour cream","barquette,plastique,carton",meals,a,-4,1.6,7.8,8.9,2,0,47.63,-2.67,1
Cornish Cove Cheddar,"frais,plastique",dairies,d,15,34.4,1.9,22.9,0,0,47.63,-2.67,0
Taste the Difference Raspberry Conserve,"glass,jar,metal",plant-based-foods-and-beverages,c,4,0.9,59.4,0.7,3,0,47.63,-2.67,1
Mild Cheddar with Onions & Chives,"frais,plastique,barquette",dairies,d,14,32.9,1.4,21.7,0,0,47.63,-2.67,0
Tortellini,plastic,plant-based-foods-and-beverages,c,9,10.8,58.5,15.4,1,0,47.63,-2.67,1
Hello Panda,"sachet,plastique",sugary-snacks,e,22,26.7,66.7,6.67,2,0,47.63,-2.67,1
British plain flour,"bag,paper",plant-based-foods-and-beverages,a,-5,1.3,77.7,9.4,2,0,47.63,-2.67,1
Pressed carrot juice,"sachet,plastique",beverages,d,6,0.1,4.4,0.7,0,0,47.63,-2.67,0
Beurre doux,"sachet,plastique",fats,e,19,82.0,0.4,0.4,0,0,47.63,-2.67,0
Pulled Pork & Chorizo Feijoada,"plastique,carton",meals,a,-4,4.4,16.0,10.0,4,0,47.63,-2.67,1
Spaghetti sauce with mushrooms,"sachet,plastique",groceries,b,1,0.0,8.62,1.72,0,0,47.63,-2.67,0
Roasted Vegetables Lasagne,"frais,plastique,carton",meals,b,1,4.0,12.5,3.6,1,0,47.63,-2.67,1
Creme Brulee,"sachet,plastique",sugary-snacks,e,24,40.0,50.0,5.0,2,0,47.63,-2.67,1
Creation Hazelnut Torte Milk Chocolate,card,sugary-snacks,e,23,32.5,55.0,7.5,1,0,47.63,-2.67,1
Molten Lava Cake,"sachet,plastique",sugary-snacks,e,23,30.0,55.0,5.0,2,0,47.63,-2.67,1
Mini Cups,box,pates-a-tartiner-aux-noisettes-et-au-cacao,e,21,30.0,56.7,6.67,0,0,47.63,-2.67,0
Nutella,pot,spreads,e,23,32.4,56.8,5.41,0,0,47.63,-2.67,0
Nutella,plastic,pates-a-tartiner-aux-noisettes-et-au-cacao,e,23,32.4,56.8,5.41,0,0,47.63,-2.67,0
Nutella,"pot,verre",spreads,e,23,32.4,56.8,5.41,0,0,47.63,-2.67,0
Cheese Twists,"boîte,carton,sachet,plastique",sugary-snacks,e,20,28.7,50.5,12.1,0,0,47.63,-2.67,0
Wrap Poulet à la Jamaïcaine,"plastique,frais,carton",fresh-foods,a,-3,5.3,25.1,10.0,7,1,47.63,-2.67,1
Haggis,plastic,fish-and-meat-and-eggs,d,14,19.0,18.4,9.7,0,0,47.63,-2.67,0
"D' Sabor, Aloe Vera Juice Drink, Pineapple","sachet,plastique",beverages,e,10,0.0,7.6,0.0,7,0,47.63,-2.67,1
"D' Sabor, Aloe Vera Juice Drink","sachet,plastique",beverages,e,10,0.0,7.6,0.0,7,0,47.63,-2.67,1
Milk Duds,card,sugary-snacks,e,25,15.4,69.2,2.56,2,0,47.63,-2.67,1
Whoppers,"box,card",sugary-snacks,e,27,17.1,75.6,2.44,5,0,47.63,-2.67,1
Good & Plenty,"sachet,plastique",sugary-snacks,d,17,0.0,87.5,2.5,2,0,47.63,-2.67,1
Milk Duds,"sachet,plastique",sugary-snacks,e,24,15.4,69.2,2.56,1,0,47.63,-2.67,1
Cream on Top strawberry Organic Yogurt,plastic pot,dairies,c,5,4.12,15.9,2.94,3,0,47.63,-2.67,1
crips & colourful mixed leaf salad,plastic bag,salad,a,-2,0.5,2.2,1.2,0,0,47.63,-2.67,0
White enriched bread,"plastic,bag",plant-based-foods-and-beverages,b,0,1.79,50.0,7.14,10,0,47.63,-2.67,1
Light Rye,"plastic,bag",plant-based-foods-and-beverages,b,2,2.22,51.1,8.89,10,0,47.63,-2.67,1
Hamburger Buns,"sachet,plastique",plant-based-foods-and-beverages,b,1,2.33,51.16,9.3,4,0,47.63,-2.67,1
Jumbo Hamburger Enriched Buns,"sachet,plastique",plant-based-foods-and-beverages,b,1,5.41,58.11,8.11,2,0,47.63,-2.67,1
Crunchy Peanut Butter,"sachet,plastique",plant-based-foods-and-beverages,d,12,50.0,21.88,25.0,0,0,47.63,-2.67,0
Hamburger enriched buns,"plastic,bag",plant-based-foods-and-beverages,b,1,2.33,51.2,9.3,9,0,47.63,-2.67,1
Original Hamburger Buns,"sachet,plastique",plant-based-foods-and-beverages,c,10,3.85,61.54,10.26,3,0,47.63,-2.67,1
100% Juice Unfiltered Apple From Concentrate,"sachet,plastique",fruit-juices,c,5,0.0,11.25,0.0,0,0,47.63,-2.67,0
White Hamburger Enriched Buns,"sachet,plastique",plant-based-foods-and-beverages,a,-2,1.16,44.19,9.3,10,0,47.63,-2.67,1
Spicy Boneless Chicken Wyngz,"frozen,plastic,bag",meats,d,12,8.93,16.96,12.5,2,0,47.63,-2.67,1
Soynuts Roasted & Salted,"sachet,plastique",plant-based-foods-and-beverages,c,7,26.7,26.7,36.7,0,0,47.63,-2.67,0
Sliced Almonds,"sachet,plastique",plant-based-foods-and-beverages,b,0,50.0,20.0,23.3,0,0,47.63,-2.67,0
Creamy Almond Butter,"sachet,plastique",plant-based-foods-and-beverages,d,12,50.0,21.88,18.75,1,0,47.63,-2.67,1
"Microwave Kettle Popcorn, Sweet & Salty","sachet,plastique",sugary-snacks,c,10,26.67,53.33,10.0,2,0,47.63,-2.67,1
Microwave Natural Popcorn,"sachet,plastique",sugary-snacks,d,11,23.33,53.33,10.0,0,0,47.63,-2.67,0
"Microwave Popcorn, Movie Theater Butter, Movie Theater Butter","sachet,plastique",sugary-snacks,d,17,26.67,53.33,10.0,2,0,47.63,-2.67,1
cut green beans,canned,plant-based-foods-and-beverages,a,-4,0.0,3.33,0.833,0,0,47.63,-2.67,0
Original Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Original Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Diced tomatoes in tomato juice,canned,plant-based-foods-and-beverages,a,-5,0.0,4.13,0.826,2,0,47.63,-2.67,1
Tomato Paste,canned,plant-based-foods-and-beverages,a,-9,0.0,18.2,6.06,0,0,47.63,-2.67,0
100% Juice Apple Cider,"sachet,plastique",fruit-juices,c,5,0.0,11.67,0.0,1,0,47.63,-2.67,1
100% Apple Juice,"sachet,plastique",fruit-juices,c,5,0.0,11.67,0.0,1,0,47.63,-2.67,1
"100% Juice, Apple","sachet,plastique",fruit-juices,c,5,0.0,11.67,0.0,0,0,47.63,-2.67,0
Tomato Ketchup From Concentarate,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
100% Apple Juice,"sachet,plastique",fruit-juices,c,5,0.0,11.67,0.0,0,0,47.63,-2.67,0
"Microwave Kettle Sweet & Salty Flavored Popcorn, Sweet & Salty","sachet,plastique",sugary-snacks,d,11,36.36,45.45,6.06,1,0,47.63,-2.67,1
Original Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
italian style tomato paste,canned,plant-based-foods-and-beverages,a,-3,0.0,21.2,3.03,1,0,47.63,-2.67,1
"Aloe Vera Drink, Original","sachet,plastique",beverages,e,14,0.0,10.83,0.0,4,0,47.63,-2.67,1
"Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,c,8,6.06,69.7,9.09,0,0,47.63,-2.67,0
Garbanzo Beans,canned,plant-based-foods-and-beverages,a,-5,1.54,15.4,4.62,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,15,0.0,23.53,0.0,0,0,47.63,-2.67,0
Sriracha Ketchup,"sachet,plastique",groceries,c,9,0.0,23.53,0.0,1,0,47.63,-2.67,1
Sriracha Ketchup,"sachet,plastique",groceries,c,9,0.0,23.53,0.0,1,0,47.63,-2.67,1
"Aloe Vera Drink, Pomegranate","sachet,plastique",beverages,e,14,0.0,10.83,0.0,4,0,47.63,-2.67,1
Original Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
Organic Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
"Organic, Organic 100% Apple Juice","sachet,plastique",fruit-juices,c,4,0.0,12.5,0.0,0,0,47.63,-2.67,0
Wheat Hamburger Buns,"sachet,plastique",plant-based-foods-and-beverages,b,1,4.65,51.16,9.3,9,0,47.63,-2.67,1
Hamburger Buns,"sachet,plastique",plant-based-foods-and-beverages,b,0,3.26,47.83,6.52,2,0,47.63,-2.67,1
Wheat Hamburger Sliced Buns,"sachet,plastique",plant-based-foods-and-beverages,b,0,2.33,48.84,9.3,2,0,47.63,-2.67,1
Hamburger Sliced Buns,"sachet,plastique",plant-based-foods-and-beverages,b,1,3.49,51.16,6.98,2,0,47.63,-2.67,1
"Organic Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,d,15,15.15,69.7,12.12,1,0,47.63,-2.67,1
Sliced Hamburger Buns,"sachet,plastique",plant-based-foods-and-beverages,b,2,2.56,51.28,7.69,10,0,47.63,-2.67,1
"Kimura Ramune Soft Drink Carbonated, Melon Flavor","sachet,plastique",beverages,e,13,0.0,9.0,0.0,3,0,47.63,-2.67,1
Original Aloe Vera Drink,"sachet,plastique",beverages,c,5,0.0,3.33,0.0,6,0,47.63,-2.67,1
Aloe Vera Drink,"sachet,plastique",beverages,c,5,0.0,3.33,0.0,7,0,47.63,-2.67,1
Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
6 Christmas deep mince pies,"card,carton,metal,foil,plastic,tray",pies,d,15,15.8,56.8,4.0,9,0,47.63,-2.67,1
Green Pepper Sauce,"flacon,bouteille,verre",groceries,c,9,0.0,1.8,0.6,3,0,47.63,-2.67,1
Microwave Popcorn,"sachet,plastique",sugary-snacks,a,-4,5.88,58.82,11.76,0,0,47.63,-2.67,0
"Microwave Popcorn, Extra Butter","sachet,plastique",sugary-snacks,e,19,30.23,53.49,6.98,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,29.41,0.0,0,0,47.63,-2.67,0
Tomato Ketchup,"sachet,plastique",groceries,d,16,0.0,23.53,0.0,0,0,47.63,-2.67,0
"Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,d,17,24.24,48.48,6.06,0,0,47.63,-2.67,0
Microwave Kettle Corn Popcorn,"sachet,plastique",sugary-snacks,d,17,24.24,48.48,6.06,1,0,47.63,-2.67,1
"Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,d,17,27.27,48.48,6.06,0,0,47.63,-2.67,0
Microwave Popcorn,"sachet,plastique",sugary-snacks,d,13,13.64,51.52,6.06,1,0,47.63,-2.67,1
"Microwave Popcorn, Extra Butter","sachet,plastique",sugary-snacks,e,20,27.27,45.45,6.06,2,0,47.63,-2.67,1
"Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,a,-4,6.06,60.61,12.12,2,0,47.63,-2.67,1
8 Hamburger Buns,"plastic,bag",plant-based-foods-and-beverages,b,1,3.49,53.5,9.3,8,0,47.63,-2.67,1
"Microwave Popcorn, Theater Butter","sachet,plastique",sugary-snacks,e,19,30.3,51.52,6.06,1,0,47.63,-2.67,1
"Microwave Popcorn, Butter","sachet,plastique",sugary-snacks,e,21,27.27,51.52,6.06,1,0,47.63,-2.67,1
Microwave Popcorn,"sachet,plastique",sugary-snacks,d,17,30.3,48.48,6.06,1,0,47.63,-2.67,1
"Microwave Popcorn, Theater Butter","sachet,plastique",sugary-snacks,d,18,33.33,48.48,6.06,0,0,47.63,-2.67,0
Canadian Dressed Lobster,"carton,plastique",fresh-foods,c,3,9.7,2.5,13.8,1,0,47.63,-2.67,1
"Apple, watermelon and raspberry juice","sachet,plastique",beverages,e,12,0.5,9.1,0.5,1,0,47.63,-2.67,1
ratatouille provençale,"can - metal,label - paper",meals,a,-1,2.5,5.0,1.0,1,0,47.63,-2.67,1
Mini Crêpes ChocoLait,"boîte carton,barquette plastique",sugary-snacks,e,24,18.0,72.0,6.7,2,0,47.63,-2.67,1
Organic Microwave Popcorn,"sachet,plastique",sugary-snacks,d,15,15.15,69.7,12.12,1,0,47.63,-2.67,1
Fruit & Nut Granola,"plastic,resealable",plant-based-foods-and-beverages,c,8,23.2,58.9,10.7,0,0,47.63,-2.67,0
Tims extra thick and crunchy jalapeno potato chips,bag,salty-snacks,c,3,14.0,22.5,3.0,1,0,47.63,-2.67,1
Original Kettle Style Potato Chips,bag,salty-snacks,d,13,32.1,53.6,3.57,0,0,47.63,-2.67,0
Intensely Fruity Christmas Pudding,"plastic,bowl",desserts,d,11,7.3,56.1,3.0,8,0,47.63,-2.67,1
Intensely Fruity Christmas Pudding,"plastic,bowl",desserts,d,11,7.3,56.1,3.0,8,0,47.63,-2.67,1
Intensely Fruity Christmas Pudding,"plastic,bowl",desserts,d,11,7.3,56.1,3.0,8,0,47.63,-2.67,1
Honey Soy Drink,plastic bottle,beverages,b,0,0.625,8.75,2.08,0,0,47.63,-2.67,0
Swiss Dark Chocolate,"carton,card",sugary-snacks,d,17,45.6,31.3,7.6,0,0,47.63,-2.67,0
Ginger candy,"plastic,cardboard,box",sugary-snacks,d,14,1.4,94.5,0.0,0,0,47.63,-2.67,0
Reduced Fat Belgian Chocolate Chunk Cookies,"sachet,plastique,sachet",sugary-snacks,e,24,17.7,68.5,5.1,6,0,47.63,-2.67,1
All Butter Reduced Fat Stem Ginger Cookies,"plastique,sachet",sugary-snacks,d,18,13.3,70.2,6.1,6,0,47.63,-2.67,1
Salsa picante sabor chamoy Mr. Chiles,plástico,groceries,c,10,0.0,10.7,0.0,4,0,47.63,-2.67,1
Belgian White Chocolate,"carton,métal",sugary-snacks,e,27,34.2,54.6,8.2,1,0,47.63,-2.67,1
7up,canned,beverages,e,15,0.0,5.0,0.0,1,0,47.63,-2.67,1
Pepsi Max,plastic bottle,diet-colas,c,3,0.0,0.0,0.0,7,0,47.63,-2.67,1
Citrus Green Tea,plastic bottle,tea-drinks,c,5,0.0,20.0,0.0,6,0,47.63,-2.67,1
Strawberry Lemonade,can,fruit-juices,b,-2,0.0,7.5,0.0,1,0,47.63,-2.67,1
Chef d'oeuf™avec fromage sur muffin anglais,"frais,emballage papier",plant-based-foods-and-beverages,d,13,16.7,16.7,8.33,13,1,47.63,-2.67,1
"Sweet Potato, Parsnip and Beetroot Hand Cooked Vegetable Crisps","sachet,plastique",salty-snacks,d,13,35.3,42.2,4.8,0,0,47.63,-2.67,0
Brown Rice,plastic,plant-based-foods-and-beverages,a,-6,3.2,71.0,8.1,0,0,47.63,-2.67,0
Jamaican Jerk Spiced Chicken Soup,"plastic,goblet,cup,pp,fresh,♷",meals,a,-4,1.7,7.6,3.9,0,0,47.63,-2.67,0
Christmas Pudding,"plastic,bowl",sugary-snacks,c,10,4.9,62.9,2.3,4,0,47.63,-2.67,1
Christmas Pudding,"plastic,bowl",sugary-snacks,c,10,4.9,62.9,2.3,4,0,47.63,-2.67,1
Orange & Cranberry Pudding,"plastic,bowl",sugary-snacks,d,12,8.6,57.1,3.2,8,0,47.63,-2.67,1
Orzo by Sainsbury's,plastic bag,plant-based-foods-and-beverages,a,-4,1.7,73.1,12.3,0,0,47.63,-2.67,0
pipe rigate,plastic bag,plant-based-foods-and-beverages,a,-1,0.6,33.6,4.4,0,0,47.63,-2.67,0
Semolina,bag - plastic,semolina,a,-3,1.8,69.9,11.9,0,0,47.63,-2.67,0
Mexican orange blossom honey,"jar - glass,lid - metal",spreads,d,14,0.5,81.5,0.5,0,0,47.63,-2.67,0
Red Pesto,"bocal,verre,couvercle,métal",groceries,c,9,29.7,6.1,5.0,1,0,47.63,-2.67,1
Scottish Lochmuir™ oak smoked salmon,"board,paper,film,plastic",seafood,d,14,9.5,0.6,24.8,0,0,47.63,-2.67,0
Barbecue Sauce,plastic bottle,groceries,e,19,0.0,48.6,0.0,1,0,47.63,-2.67,1
Honey Barbecue Sauce,plastic bottle,groceries,e,22,0.0,57.0,1.0,3,0,47.63,-2.67,1
Sweet Baby Rays Steakhouse Marinade & Sauce,plastic bottle,barbeque-sauce,e,21,0.0,47.0,1.8,1,0,47.63,-2.67,1
Macaroni & Cheese,box,plant-based-foods-and-beverages,d,12,6.34,64.79,14.08,2,0,47.63,-2.67,1
Macaroni & Cheese,box,plant-based-foods-and-beverages,c,9,5.64,66.3,15.5,1,0,47.63,-2.67,1
Organic Thin-Sliced 21 Whole Grains And Seeds Bread,"sachet,plastique",plant-based-foods-and-beverages,a,-4,3.57,42.9,10.7,0,0,47.63,-2.67,0
Rye & Wheat Crackers,"carton,boîte",salty-snacks,c,7,10.8,66.9,9.1,2,1,47.63,-2.67,1
Bluberry Protein Shake,plastic bottle,dietary-supplements,b,0,1.56,10.4,5.56,3,0,47.63,-2.67,1
9 Mini All Butter Mince Pies,"paper,carton,plastic,tray",pies,d,17,15.9,57.4,4.8,8,0,47.63,-2.67,1
Milano Lemon Flavored Chocolate,paper,sugary-snacks,e,19,26.9,61.5,3.85,1,0,47.63,-2.67,1
Milano dulce de leche,paper,sugary-snacks,e,24,27.4,62.7,3.92,4,0,47.63,-2.67,1
Farmhouse Oatmeal,"plastic,bag",plant-based-foods-and-beverages,a,-2,4.65,51.2,9.3,7,0,47.63,-2.67,1
Milano Distinctive Cookies,bag,sugary-snacks,e,21,30.6,61.1,7.05,3,0,47.63,-2.67,1
Milano Dark Chocolate,paper,sugary-snacks,e,20,26.5,64.7,5.88,3,0,47.63,-2.67,1
Milano Orange Flavored Chocolate,paper,sugary-snacks,e,20,28.0,64.0,4.0,3,0,47.63,-2.67,1
Farmhouse Sourdough,"plastic,bag",plant-based-foods-and-beverages,b,1,3.49,51.2,9.3,8,0,47.63,-2.67,1
Milano Raspberry Flavored Chocolate,paper,sugary-snacks,e,19,28.0,64.0,4.0,1,0,47.63,-2.67,1
Tahoe White Chocolate Macadamia,paper,sugary-snacks,e,26,23.1,65.4,3.85,3,0,47.63,-2.67,1
Sausalito Milk Chocolate Macadamia,paper,sugary-snacks,e,26,23.1,65.4,3.85,3,0,47.63,-2.67,1
Double chocolate Nantuket Dark Chocolate,paper,sugary-snacks,e,26,25.0,67.9,3.57,1,0,47.63,-2.67,1
Milano Cookies-Mint Chocolate,"paper,item",sugary-snacks,e,19,28.0,64.0,4.0,3,0,47.63,-2.67,1
Chessmen,paper,sugary-snacks,d,17,19.2,69.2,7.69,3,0,47.63,-2.67,1
goldfish baked crackers  flavour blasted ,"sachet,plastique",salty-snacks,d,12,17.5,65.0,10.0,1,0,47.63,-2.67,1
Goldfish Colors,plastic,salty-snacks,d,12,16.7,66.7,10.0,6,0,47.63,-2.67,1
Goldfish Flavor Blasted Xtra Cheddar,paper bag,salty-snacks,d,13,16.7,63.3,13.3,7,0,47.63,-2.67,1
Goldfish,"sachet,plastique",salty-snacks,d,11,20.0,66.7,10.0,3,0,47.63,-2.67,1
Goldfish baked snack crackers Cheddar,"sachet,plastique",snacks,d,13,16.7,66.7,10.0,4,0,47.63,-2.67,1
Goldfish baked snack crackers Cheddar,box,snacks,d,13,16.7,66.7,10.0,4,0,47.63,-2.67,1
Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan,"sachet,papier,plastique",sugary-snacks,e,21,32.4,57.8,5.1,6,1,47.63,-2.67,1
Chocolate Chunk Dark Double Chocolate Crispy Cookies,papier,sugary-snacks,e,21,25.3,66.5,3.8,8,1,47.63,-2.67,1
